NM_PARLA,COD_PARLA,STATE,PARTY,correctYea,wrongYea,wrongNay,correctNay,GMP,CC,coord1D,coord2D,se1D,se2D,corr.1
GERALDO RESENDE,435,Mato Grosso do Sul,PMDB,115,24,22,82,0.645726919,0.810699588,0.240496442,-0.300427318,0,0,0
GERALDO RESENDE,435,Mato Grosso do Sul,PSDB,224,12,14,200,0.848828614,0.942222222,0.64186877,0.351307601,0,0,0
GIACOBO,466,Paraná,PR,109,11,4,80,0.851596892,0.926470588,0.300191909,-0.887204885,0,0,0
GILBERTO NASCIMENTO,360,São Paulo,PSC,298,39,34,244,0.749801338,0.881300813,0.629513144,0.294570386,0,0,0
GIOVANI CHERINI,502,Rio Grande do Sul,PDT,138,31,24,63,0.671908915,0.78515625,0.061451439,0.009705764,0,0,0
GIOVANI CHERINI,502,Rio Grande do Sul,PR,118,10,6,127,0.868253589,0.938697318,0.592806935,-0.3769871,0,0,0
GIOVANI CHERINI,502,Rio Grande do Sul,S.Part.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GIOVANI FELTES,494,Rio Grande do Sul,MDB,29,2,2,31,0.859648705,0.9375,0.821048558,0.181569263,0,0,0
GIOVANI FELTES,494,Rio Grande do Sul,PMDB,28,0,0,18,0.972463906,1,0.849830091,-0.037479024,0,0,0
GIUSEPPE VECCI,429,Goiás,PSDB,292,28,20,291,0.826896727,0.923930269,0.81884259,0.487369031,0,0,0
GIVALDO CARIMBÃO,166,Alagoas,Avante,29,3,12,37,0.70859617,0.814814815,-0.715194345,-0.698925495,0,0,0
GIVALDO CARIMBÃO,166,Alagoas,PHS,103,28,30,127,0.622122645,0.798611111,-0.069349259,-0.152661264,0,0,0
GIVALDO CARIMBÃO,166,Alagoas,PROS,105,8,14,74,0.748203635,0.890547264,-0.19699575,-0.41767478,0,0,0
GIVALDO VIEIRA,276,Espírito Santo,PCdoB,14,3,10,77,0.804152071,0.875,-0.463559568,0.543550491,0,0,0
GIVALDO VIEIRA,276,Espírito Santo,PT,233,10,10,339,0.864248693,0.966216216,-0.620461643,-0.040293522,0,0,0
GLADSON CAMELI,904,Acre,PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GLAUBER BRAGA,304,Rio de Janeiro,PSB,76,22,21,90,0.630491316,0.794258373,0.061513979,0.998106301,0,0,0
GLAUBER BRAGA,304,Rio de Janeiro,PSOL,110,48,19,431,0.787736177,0.889802632,-0.519405425,0.85452795,0,0,0
GLEISI HOFFMANN,856,Paraná,PT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GONZAGA PATRIOTA,143,Pernambuco,PSB,180,41,44,230,0.694596708,0.828282828,0.166191265,0.648707151,0,0,0
GORETE PEREIRA,100,Ceará,PR,281,41,24,204,0.750229597,0.881818182,0.238407984,-0.598868608,0,0,0
GOULART,361,São Paulo,PSD,362,36,40,266,0.768828869,0.892045455,0.348217607,-0.428672373,0,0,0
GUILHERME COELHO,572,Pernambuco,PSDB,100,6,3,76,0.860922933,0.951351351,0.591855168,0.125208035,0,0,0
GUILHERME MUSSI,348,São Paulo,PP,208,12,8,145,0.836349964,0.946380697,0.376959294,-0.702672184,0,0,0
HEITOR SCHUCH,504,Rio Grande do Sul,PSB,213,50,59,325,0.683492362,0.831530139,0.107940644,0.78066957,0,0,0
HELDER SALOMÃO,279,Espírito Santo,PT,248,18,17,473,0.849612713,0.953703704,-0.604768336,0.130919874,0,0,0
HENRIQUE FONTANA,498,Rio Grande do Sul,PT,234,31,20,427,0.827343464,0.928370787,-0.665443182,0.215184569,0,0,0
HERCULANO PASSOS,362,São Paulo,MDB,20,3,1,31,0.854588389,0.927272727,0.578824997,0.246495813,0,0,0
HERCULANO PASSOS,362,São Paulo,PMDB,21,0,0,14,0.984781027,1,0.98261857,-0.088023342,0,0,0
HERCULANO PASSOS,362,São Paulo,PSD,318,34,23,237,0.775381386,0.906862745,0.259737551,-0.507359803,0,0,0
HERMES PARCIANELLO,448,Paraná,MDB,11,1,1,23,0.84995842,0.944444444,0.384532034,0.143094316,0,0,0
HERMES PARCIANELLO,448,Paraná,PMDB,166,25,23,115,0.714333057,0.854103343,0.417082101,-0.054402784,0,0,0
HERÁCLITO FORTES,115,Piauí,DEM,48,0,1,48,0.934077144,0.989690722,0.63960743,0.031132719,0,0,0
HERÁCLITO FORTES,115,Piauí,PSB,259,33,30,239,0.769927084,0.887700535,0.585212588,0.223453432,0,0,0
HEULER CRUVINEL,423,Goiás,PP,38,0,2,34,0.928231239,0.972972973,0.823656261,-0.314788431,0,0,0
HEULER CRUVINEL,423,Goiás,PSD,232,43,21,160,0.743149221,0.859649123,0.339970589,-0.245808274,0,0,0
HILDO ROCHA,74,Maranhão,MDB,23,4,2,32,0.764563382,0.901639344,0.35939911,0.177221864,0,0,0
HILDO ROCHA,74,Maranhão,PMDB,350,43,45,247,0.715923607,0.871532847,0.30397138,-0.474356353,0,0,0
HIRAN GONÇALVES,4,Roraima,PMB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HIRAN GONÇALVES,4,Roraima,PMN,101,20,15,70,0.690020263,0.830097087,0.022051498,-0.318783671,0,0,0
HIRAN GONÇALVES,4,Roraima,PP,178,5,13,148,0.83683759,0.947674419,0.438444614,-0.869465292,0,0,0
HIRAN GONÇALVES,4,Roraima,S.Part.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HISSA ABRAHÃO,42,Amazonas,PDT,64,3,27,109,0.728478968,0.852216749,-0.254059643,0.146634668,0,0,0
HISSA ABRAHÃO,42,Amazonas,PPS,100,14,22,119,0.705671251,0.858823529,0.364040047,0.931383193,0,0,0
HUGO LEAL,306,Rio de Janeiro,PROS,119,7,13,77,0.789000094,0.907407407,-0.204199001,-0.627148211,0,0,0
HUGO LEAL,306,Rio de Janeiro,PSB,141,9,10,111,0.800811887,0.929889299,0.215939358,0.045579437,0,0,0
HUGO LEAL,306,Rio de Janeiro,PSD,20,3,3,25,0.733814657,0.882352941,0.453198969,-0.748854458,0,0,0
HUGO LEAL,306,Rio de Janeiro,S.Part.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HUGO MOTTA,132,Paraíba,PMDB,232,11,10,156,0.836003661,0.948655257,0.273794383,-0.961788237,0,0,0
HUGO MOTTA,132,Paraíba,PRB,34,0,3,25,0.838994145,0.951612903,0.438649952,-0.299760938,0,0,0
HUMBERTO COSTA,824,Pernambuco,PT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HÉLIO JOSÉ,905,Distrito Federal,PMDB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HÉLIO JOSÉ,905,Distrito Federal,PROS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HÉLIO JOSÉ,905,Distrito Federal,PSD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HÉLIO LEITE,32,Pará,DEM,339,44,25,312,0.787763476,0.904166667,0.711411119,0.167853758,0,0,0
ILDON MARQUES,581,Maranhão,PSB,31,2,1,22,0.87128371,0.946428571,0.339370847,-0.940652728,0,0,0
INDIO DA COSTA,315,Rio de Janeiro,PSD,168,22,34,115,0.696954787,0.83480826,0.33978948,-0.377949089,0,0,0
IRACEMA PORTELLA,113,Piauí,PP,197,17,14,132,0.769901097,0.913888889,0.285256535,-0.694600582,0,0,0
IRAJÁ ABREU,65,Tocantins,PSD,185,28,18,121,0.723466575,0.869318182,0.205258995,-0.495573848,0,0,0
IRMÃO LAZARO,199,Bahia,PSC,154,45,84,185,0.512683213,0.724358974,0.025849115,0.402147084,0,0,0
IVAN VALENTE,359,São Paulo,PSOL,188,62,34,521,0.756528735,0.880745342,-0.397190273,0.917736292,0,0,0
IVO CASSOL,867,Rondonia,PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IZALCI,408,Distrito Federal,PSDB,187,13,7,171,0.869626462,0.947089947,0.862263858,0.456606299,0,0,0
IZALCI LUCAS,408,Distrito Federal,PSDB,154,10,6,139,0.857221067,0.948220065,0.709700048,0.285708874,0,0,0
IZAQUE SILVA,599,São Paulo,PSDB,88,10,9,88,0.74586308,0.902564103,0.350441545,0.242449701,0,0,0
JADER BARBALHO,932,Pará,MDB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JADER BARBALHO,932,Pará,PMDB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JAIME MARTINS,240,Minas Gerais,PROS,31,6,5,31,0.714247525,0.849315068,0.240773931,0.046204802,0,0,0
JAIME MARTINS,240,Minas Gerais,PSD,202,58,43,178,0.618783057,0.79002079,0.26769191,-0.082716219,0,0,0
JAIR BOLSONARO,302,Rio de Janeiro,PP,116,13,21,112,0.721953928,0.870229008,0.950582445,0.310472518,0,0,0
JAIR BOLSONARO,302,Rio de Janeiro,PSC,134,42,44,142,0.590878844,0.762430939,0.083858706,0.241091564,0,0,0
JAIR BOLSONARO,302,Rio de Janeiro,PSL,38,3,3,37,0.767761767,0.925925926,0.47733438,0.069188736,0,0,0
JANDIRA FEGHALI,305,Rio de Janeiro,PCdoB,212,29,28,409,0.799953878,0.915929204,-0.567466915,0.41098386,0,0,0
JANETE CAPIBERIBE,10,Amapá,PSB,118,20,89,250,0.661295414,0.77148847,-0.439944893,0.898024797,0,0,0
JARBAS VASCONCELOS,147,Pernambuco,MDB,24,2,0,33,0.871839762,0.966101695,0.540875435,0.132840723,0,0,0
JARBAS VASCONCELOS,147,Pernambuco,PMDB,293,39,51,285,0.736374021,0.865269461,0.58258146,0.661135793,0,0,0
JEAN WYLLYS,307,Rio de Janeiro,PSOL,177,45,35,393,0.752466917,0.876923077,-0.406468123,0.913664937,0,0,0
JEFFERSON CAMPOS,349,São Paulo,PSB,20,5,15,53,0.684496343,0.784946237,-0.165808901,0.230722994,0,0,0
JEFFERSON CAMPOS,349,São Paulo,PSD,252,52,40,225,0.695112824,0.83831283,0.370819181,0.167418644,0,0,0
JERÔNIMO GOERGEN,505,Rio Grande do Sul,PP,282,33,42,246,0.734890401,0.875621891,0.717966855,0.659599066,0,0,0
JHC,167,Alagoas,PSB,80,10,48,141,0.630899429,0.792114695,0.042651195,0.840355754,0,0,0
JHC,167,Alagoas,Solidaried,62,18,18,68,0.663527369,0.78313253,0.488499761,0.872564077,0,0,0
JHONATAN DE JESUS,5,Roraima,PRB,268,47,35,242,0.739529967,0.861486486,0.223899037,-0.369823992,0,0,0
JOAQUIM PASSARINHO,33,Pará,PSD,352,69,39,310,0.707621098,0.85974026,0.355442554,-0.168683946,0,0,0
JONES MARTINS,578,Rio Grande do Sul,PMDB,192,14,3,169,0.878291965,0.955026455,0.546947241,-0.462416023,0,0,0
JONY MARCOS,181,Sergipe,PRB,210,42,36,203,0.69346416,0.84114053,-0.027077891,-0.419916391,0,0,0
JORGE BOEIRA,474,Santa Catarina,PP,123,25,100,195,0.521487057,0.717832957,-0.009136414,0.999958277,0,0,0
JORGE CÔRTE REAL,150,Pernambuco,PTB,347,40,26,273,0.776894093,0.903790087,0.304538727,-0.520013154,0,0,0
JORGE SOLLA,204,Bahia,PT,186,23,10,348,0.823593318,0.941798942,-0.605744421,0.236519828,0,0,0
JORGE TADEU MUDALEN,363,São Paulo,DEM,325,23,15,284,0.844429791,0.941267388,0.815585375,0.083615966,0,0,0
JORGE VIANA,849,Acre,PT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JORGINHO MELLO,476,Santa Catarina,PR,287,65,44,212,0.678609312,0.820723684,0.200962678,-0.217817262,0,0,0
JOSE STÉDILE,506,Rio Grande do Sul,PSB,283,52,71,351,0.677885115,0.837516513,0.19377619,0.707987189,0,0,0
JOSI NUNES,62,Tocantins,PMDB,333,29,36,211,0.765748441,0.893267652,0.243552133,-0.573690295,0,0,0
JOSI NUNES,62,Tocantins,PROS,45,3,3,46,0.837537646,0.93814433,0.396871299,0.004138597,0,0,0
JOSIAS GOMES,202,Bahia,PT,15,0,1,35,0.84581393,0.980392157,-0.632819116,0.42023921,0,0,0
JOSUÉ BENGTSON,30,Pará,PTB,312,39,28,236,0.770814657,0.891056911,0.371087044,-0.317725122,0,0,0
JOSÉ AGRIPINO,818,Rio Grande do Norte,DEM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JOSÉ AIRTON,101,Ceará,PT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JOSÉ AIRTON CIRILO,101,Ceará,PT,218,9,15,339,0.831197977,0.95869191,-0.568538904,-0.089664772,0,0,0
JOSÉ ANÍBAL,942,São Paulo,PSDB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JOSÉ AUGUSTO CURVO,565,Mato Grosso,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JOSÉ AUGUSTO CURVO,565,Mato Grosso,PSD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JOSÉ CARLOS ALELUIA,207,Bahia,DEM,301,41,29,263,0.788385153,0.889589905,0.760163486,-0.193107963,0,0,0
JOSÉ CARLOS ARAÚJO,197,Bahia,PR,230,15,7,192,0.867477357,0.95045045,0.537279308,-0.350253105,0,0,0
JOSÉ CARLOS ARAÚJO,197,Bahia,PSD,123,16,11,69,0.737647295,0.876712329,0.118478939,-0.73812449,0,0,0
JOSÉ FOGAÇA,539,Rio Grande do Sul,PMDB,256,76,68,243,0.606308579,0.776049767,0.18196024,0.177970827,0,0,0
JOSÉ GUIMARÃES,103,Ceará,PT,216,8,16,334,0.843205631,0.958188153,-0.557005465,-0.141312167,0,0,0
JOSÉ MAIA FILHO,549,Piauí,Solidaried,29,1,4,30,0.757079303,0.921875,-0.164914697,-0.324465603,0,0,0
JOSÉ MARANHÃO,819,Paraíba,MDB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JOSÉ MARANHÃO,819,Paraíba,PMDB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JOSÉ MEDEIROS,900,Mato Grosso,PODE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JOSÉ MEDEIROS,900,Mato Grosso,PPS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JOSÉ MEDEIROS,900,Mato Grosso,PSD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JOSÉ MEDEIROS,900,Mato Grosso,Podemos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JOSÉ MENTOR,367,São Paulo,PT,238,12,10,394,0.865747213,0.966360856,-0.630287886,-0.074915066,0,0,0
JOSÉ NUNES,201,Bahia,PSD,341,33,33,259,0.760593235,0.900900901,0.25862968,-0.432866991,0,0,0
JOSÉ OTÁVIO GERMANO,501,Rio Grande do Sul,PP,106,21,24,73,0.642256021,0.799107143,0.561429262,0.032082949,0,0,0
JOSÉ PIMENTEL,825,Ceará,PT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JOSÉ PRIANTE,26,Pará,MDB,13,0,1,22,0.921854615,0.972222222,0.750021875,0.116146021,0,0,0
JOSÉ PRIANTE,26,Pará,PMDB,253,11,8,176,0.864510894,0.957589286,0.331064939,-0.943608046,0,0,0
JOSÉ REINALDO,77,Maranhão,PSB,292,37,32,225,0.759577394,0.88225256,0.501751959,-0.159070134,0,0,0
JOSÉ REINALDO,77,Maranhão,PSDB,39,5,0,28,0.898557723,0.930555556,0.956579745,0.291470796,0,0,0
JOSÉ REINALDO,77,Maranhão,S.Part.,13,0,1,15,0.898521423,0.965517241,0.802314878,-0.596901178,0,0,0
JOSÉ ROCHA,203,Bahia,PR,299,28,12,213,0.834051251,0.927536232,0.242869899,-0.844281316,0,0,0
JOSÉ SERRA,846,São Paulo,PSDB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JOVAIR ARANTES,419,Goiás,PTB,209,15,8,148,0.81927526,0.939473684,0.278278977,-0.873916924,0,0,0
JOZI  ARAÚJO,11,Amapá,PODE,10,1,0,10,0.804385662,0.952380952,0.20371449,-0.979030371,0,0,0
JOZI  ARAÚJO,11,Amapá,PTB,18,1,1,6,0.752126575,0.923076923,0.499454618,-0.790515006,0,0,0
JOZI  ARAÚJO,11,Amapá,PTN,60,3,4,57,0.854224801,0.943548387,0.431335181,-0.363341004,0,0,0
JOZI  ARAÚJO,11,Amapá,Podemos,55,3,3,45,0.814379036,0.943396226,0.42315191,-0.151335776,0,0,0
JOZI ROCHA,11,Amapá,PTB,75,5,6,44,0.753814697,0.915384615,0.362553418,-0.780411899,0,0,0
JOÃO ALBERTO SOUZA,808,Maranhão,MDB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JOÃO ALBERTO SOUZA,808,Maranhão,PMDB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JOÃO ARRUDA,455,Paraná,MDB,14,0,7,18,0.641330481,0.820512821,0.432259321,-0.75789243,0,0,0
JOÃO ARRUDA,455,Paraná,PMDB,240,73,70,179,0.605454981,0.745551601,0.101187713,-0.107253261,0,0,0
JOÃO CAMPOS,418,Goiás,PRB,180,12,10,132,0.826211989,0.934131737,0.477155179,0.00043133,0,0,0
JOÃO CAMPOS,418,Goiás,PSDB,96,14,9,99,0.725170672,0.894495413,0.761961997,0.647621751,0,0,0
JOÃO CAPIBERIBE,937,Amapá,PSB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JOÃO CARLOS BACELAR,187,Bahia,PR,232,12,8,155,0.858295858,0.950859951,0.374999285,-0.92702508,0,0,0
JOÃO CASTELO,75,Maranhão,PSDB,147,6,6,137,0.864481866,0.959459459,0.88164854,0.471906692,0,0,0
JOÃO DANIEL,179,Sergipe,PT,244,17,20,449,0.838102341,0.949315068,-0.620333254,0.053165711,0,0,0
JOÃO DERLY,514,Rio Grande do Sul,PCdoB,80,26,14,80,0.683061063,0.8,-0.251018554,0.584642231,0,0,0
JOÃO DERLY,514,Rio Grande do Sul,REDE,95,34,63,229,0.58198911,0.7695962,-0.178771213,0.983890772,0,0,0
JOÃO FERNANDO COUTINHO,149,Pernambuco,PROS,32,6,7,33,0.654275656,0.833333333,0.27670148,-0.466350406,0,0,0
JOÃO FERNANDO COUTINHO,149,Pernambuco,PSB,217,40,53,205,0.687952042,0.819417476,0.380765259,0.472761363,0,0,0
JOÃO GUALBERTO,200,Bahia,PSDB,258,20,26,238,0.775297284,0.915129151,0.800249636,0.599667013,0,0,0
JOÃO MARCELO,76,Maranhão,PMDB,13,5,1,7,0.677650273,0.769230769,0.125608534,-0.188609853,0,0,0
JOÃO MARCELO SOUZA,76,Maranhão,MDB,25,4,0,32,0.854223788,0.93442623,0.728960931,0.240612775,0,0,0
JOÃO MARCELO SOUZA,76,Maranhão,PMDB,307,19,11,230,0.831218183,0.947089947,0.215686187,-0.84049356,0,0,0
JOÃO PAULO KLEINÜBING,485,Santa Catarina,DEM,37,10,8,39,0.660889626,0.808510638,0.308832049,0.208035961,0,0,0
JOÃO PAULO KLEINÜBING,485,Santa Catarina,PSD,100,14,7,96,0.770761549,0.903225806,0.502328694,0.200737059,0,0,0
JOÃO PAULO PAPA,364,São Paulo,PSDB,335,45,38,347,0.767682612,0.891503268,0.611628294,0.716942787,0,0,0
JOÃO RODRIGUES,473,Santa Catarina,PSD,278,37,36,211,0.744802058,0.870106762,0.470551908,-0.035610694,0,0,0
JULIO LOPES,308,Rio de Janeiro,PP,320,31,28,245,0.76133728,0.905448718,0.420900494,-0.385423869,0,0,0
JULIÃO AMIN,71,Maranhão,PDT,13,3,9,52,0.770208776,0.844155844,-0.257561862,0.237906784,0,0,0
JULIÃO AMIN CASTRO,71,Maranhão,PDT,13,0,1,9,0.822523236,0.956521739,-0.265240371,-0.424725562,0,0,0
JUNIOR MARRECA,78,Maranhão,PEN,227,27,23,185,0.758972228,0.891774892,0.264133483,-0.367134035,0,0,0
JUNIOR MARRECA,78,Maranhão,Patriota,10,1,0,20,0.938228548,0.967741935,0.631897569,0.040037107,0,0,0
JUNJI ABE,610,São Paulo,MDB,28,2,2,27,0.858026445,0.93220339,0.61745894,0.011056532,0,0,0
JUNJI ABE,610,São Paulo,PMDB,26,0,0,16,0.986756206,1,0.980499268,-0.085495308,0,0,0
JUNJI ABE,610,São Paulo,PSD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JUSCELINO FILHO,79,Maranhão,DEM,168,13,6,144,0.833649755,0.942598187,0.472517282,-0.373445421,0,0,0
JUSCELINO FILHO,79,Maranhão,PMB,4,0,1,15,0.803072095,0.95,0.59334451,-0.076559149,0,0,0
JUSCELINO FILHO,79,Maranhão,PRP,109,23,15,67,0.661758602,0.822429907,0.175061002,-0.340370566,0,0,0
JUSCELINO REZENDE FILHO,79,Maranhão,PRP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JUTAHY JUNIOR,206,Bahia,PSDB,321,31,25,303,0.772472858,0.917647059,0.708978772,0.571511388,0,0,0
JÉSSICA SALES,56,Acre,MDB,17,3,1,25,0.813924849,0.913043478,0.287822723,0.076162681,0,0,0
JÉSSICA SALES,56,Acre,PMDB,260,19,22,164,0.792685866,0.911827957,0.293622434,-0.429683566,0,0,0
JÔ MORAES,246,Minas Gerais,PCdoB,217,30,33,416,0.797114432,0.909482759,-0.576599181,0.37386325,0,0,0
JÚLIA MARINHO,34,Pará,PSC,337,43,28,296,0.744038165,0.899147727,0.498050839,0.086336128,0,0,0
JÚLIO CESAR,114,Piauí,PSD,351,24,24,261,0.814375401,0.927272727,0.312624097,-0.592532814,0,0,0
JÚLIO DELGADO,250,Minas Gerais,PSB,171,54,76,285,0.621158361,0.778156997,-0.015428378,0.927148998,0,0,0
KAIO MANIÇOBA,151,Pernambuco,PHS,106,23,17,77,0.683807254,0.820627803,0.230038747,-0.250467569,0,0,0
KAIO MANIÇOBA,151,Pernambuco,PMDB,128,9,6,96,0.847727895,0.937238494,0.442291677,-0.090113774,0,0,0
KAIO MANIÇOBA,151,Pernambuco,Solidaried,33,3,6,28,0.73184365,0.871428571,0.773823798,0.633400977,0,0,0
KEIKO OTA,356,São Paulo,PSB,254,42,53,291,0.682068646,0.8515625,0.15765886,0.493347496,0,0,0
KÁTIA ABREU,885,Tocantins,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KÁTIA ABREU,885,Tocantins,PMDB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KÁTIA ABREU,885,Tocantins,S.Part.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAERCIO OLIVEIRA,176,Sergipe,PP,14,0,0,12,0.9626441,1,0.645311713,-0.17436108,0,0,0
LAERCIO OLIVEIRA,176,Sergipe,Solidaried,175,19,13,164,0.779203415,0.913746631,0.642720461,0.089986123,0,0,0
LAERTE BESSA,412,Distrito Federal,PR,267,38,21,208,0.780216157,0.889513109,0.327106774,-0.509711027,0,0,0
LAERTE RODRIGUES DE BESSA,412,Distrito Federal,PR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LASIER MARTINS,861,Rio Grande do Sul,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LASIER MARTINS,861,Rio Grande do Sul,PSD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAUDIVIO CARVALHO,234,Minas Gerais,PMDB,131,26,21,96,0.678200424,0.828467153,0.201948896,-0.269876689,0,0,0
LAUDIVIO CARVALHO,234,Minas Gerais,Podemos,44,11,3,48,0.720333457,0.867924528,0.28847295,0.058658641,0,0,0
LAUDIVIO CARVALHO,234,Minas Gerais,Solidaried,169,35,23,174,0.759577274,0.855361596,0.145990908,0.007007622,0,0,0
LAURA CARNEIRO,558,Rio de Janeiro,DEM,43,2,3,38,0.858974397,0.941860465,0.355972201,0.039065886,0,0,0
LAURA CARNEIRO,558,Rio de Janeiro,PMDB,164,23,15,137,0.75459528,0.887905605,0.221275613,-0.265450835,0,0,0
LAURA CARNEIRO,558,Rio de Janeiro,S.Part.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LEANDRE,453,Paraná,PV,255,59,72,260,0.632977486,0.797213622,0.354691088,0.636932313,0,0,0
LELO COIMBRA,277,Espírito Santo,MDB,15,2,1,19,0.82199496,0.918918919,0.776418746,0.323610783,0,0,0
LELO COIMBRA,277,Espírito Santo,PMDB,287,47,27,210,0.729665339,0.870402802,0.314137757,-0.30115664,0,0,0
LEO DE BRITO,57,Acre,PT,258,9,10,450,0.867567778,0.973865199,-0.603147268,-0.017856333,0,0,0
LEONARDO MONTEIRO,253,Minas Gerais,PT,211,7,12,382,0.84746033,0.968954248,-0.581405759,0.074645877,0,0,0
LEONARDO PICCIANI,312,Rio de Janeiro,MDB,19,2,1,25,0.787701726,0.936170213,0.499077648,0.09615346,0,0,0
LEONARDO PICCIANI,312,Rio de Janeiro,PMDB,157,10,5,101,0.834231555,0.945054945,0.215336785,-0.97653985,0,0,0
LEONARDO QUINTÃO,255,Minas Gerais,MDB,19,3,7,18,0.60681504,0.787234043,0.315697521,-0.858246744,0,0,0
LEONARDO QUINTÃO,255,Minas Gerais,PMDB,296,11,25,203,0.80827415,0.93271028,0.354274482,-0.598058581,0,0,0
LEOPOLDO MEYER,456,Paraná,PSB,307,48,48,367,0.710931659,0.875324675,0.17066808,0.549690247,0,0,0
LEÔNIDAS CRISTINO,96,Ceará,PDT,119,17,44,278,0.748025358,0.866812227,-0.295752317,0.248093575,0,0,0
LEÔNIDAS CRISTINO,96,Ceará,PROS,142,11,17,99,0.741737187,0.895910781,-0.15200536,-0.317500114,0,0,0
LINCOLN PORTELA,243,Minas Gerais,PR,119,43,29,88,0.544548571,0.741935484,0.056857895,-0.381004035,0,0,0
LINCOLN PORTELA,243,Minas Gerais,PRB,85,27,27,89,0.603102982,0.763157895,-0.077574618,-0.037093982,0,0,0
LINDBERGH FARIAS,839,Rio de Janeiro,PT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LINDOMAR GARÇON,45,Rondonia,PMDB,116,11,6,72,0.80439508,0.917073171,0.251202583,-0.967934489,0,0,0
LINDOMAR GARÇON,45,Rondonia,PRB,184,17,15,156,0.816677034,0.913978495,0.377816796,-0.301783979,0,0,0
LOBBE NETO,521,São Paulo,PSDB,341,47,24,363,0.771806777,0.908387097,0.739901423,0.672715247,0,0,0
LOURIVAL GOMES,595,Rio de Janeiro,PTN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LUANA COSTA,588,Maranhão,PSB,73,12,11,81,0.712887645,0.870056497,0.086111821,-0.012891443,0,0,0
LUANA COSTA,588,Maranhão,PSC,41,3,3,39,0.810740232,0.930232558,0.193945572,-0.007461798,0,0,0
LUCAS VERGILIO,430,Goiás,Solidaried,324,32,35,270,0.780172229,0.898638427,0.63642782,0.222278565,0,0,0
LUCIANA SANTOS,153,Pernambuco,PCdoB,161,18,20,288,0.801667333,0.921971253,-0.595744848,0.337961525,0,0,0
LUCIANO BIVAR,605,Pernambuco,PSL,16,1,1,16,0.759482086,0.941176471,0.400210738,-0.587415874,0,0,0
LUCIANO DUCCI,457,Paraná,PSB,241,41,49,276,0.687264383,0.851729819,0.204604208,0.56642127,0,0,0
LUCIO MOSQUINI,46,Rondonia,MDB,21,2,8,20,0.666973293,0.803921569,0.275787205,-0.343699932,0,0,0
LUCIO MOSQUINI,46,Rondonia,PMDB,299,29,23,223,0.797176778,0.909407666,0.260337025,-0.892198861,0,0,0
LUCIO VIEIRA LIMA,205,Bahia,MDB,10,0,1,21,0.922728717,0.96875,0.779592156,-0.042811241,0,0,0
LUCIO VIEIRA LIMA,205,Bahia,PMDB,234,31,20,172,0.765030503,0.888402626,0.43039611,-0.389038414,0,0,0
